user_id,item_list
103,5653 5653 5654 17955
104,8516 17547 8844 17955
105,6207 3568 6830 17955
106,3970 3965 3970 17955
108,4284 6404 14487 17955
109,5653 5653 5654 17955
110,4357 3898 7455 17955
111,15114 15114 15114 8638
112,4123 4123 5373 17955
113,187 187 195 8638
114,9203 9204 9206 17955
115,5113 5113 1171 17955
116,9128 9128 8382 17955
117,6528 6528 17989 17955
118,3568 3568 10308 17955
119,8500 7310 8826 17955
120,7495 5508 7492 17955
122,15674 14883 15383 17955
123,15819 12194 5753 17955
124,4748 9302 14758 17955
125,18494 18494 18494 17955
126,4634 4634 7034 17955
127,3572 3572 4717 17955
128,3105 9446 5731 17955
129,10068 10068 5369 17955
130,7661 7657 7657 17955
131,18494 18494 18494 17955
132,18494 18494 18494 17955
134,8849 5896 2890 17955
135,724 724 724 17955
136,14084 5714 1352 17955
137,18494 18494 18494 17955
138,7455 8668 8668 17955
139,9303 7581 7579 17955
140,3902 3902 5936 17955
141,4657 4634 4634 17955
142,735 735 11733 17955
143,1689 379 15685 17955
144,18494 18494 18494 17955
145,6776 6776 6445 17955
146,4710 4702 4690 17955
149,4657 4657 15114 17955
150,12815 4128 11480 17955
151,9203 9203 17734 8638
152,4035 4033 66 17955
153,18494 18494 18494 17955
155,8515 3569 3115 17955
156,4280 4280 5544 17955
157,15458 15458 4761 17955
158,15398 15398 381 8638
159,7662 10227 5677 17955
160,9053 1944 6624 17955
161,3572 3572 4611 17955
162,4702 3569 5202 17955
163,12516 2736 8386 17955
164,4279 4279 5412 17955
165,5921 9477 4301 17955
166,7883 8186 6295 17955
167,16265 10466 12158 17955
168,12099 6654 13552 17955
169,4280 4280 4238 17955
170,4657 4657 5942 8638
171,16152 6109 6830 17955
172,8419 4785 498 17955
173,10068 10068 4491 17955
174,12059 12051 4593 17955
175,5608 10068 3528 17955
176,9303 9303 5741 17955
177,15120 15120 9043 17955
178,13079 15594 11154 17955
179,4124 4124 4033 17955
180,18166 4528 4528 17955
181,376 12701 15801 17955
182,3407 8186 5753 17955
183,18494 18494 18494 17955
184,7885 8668 7890 17955
185,5012 5012 5012 17955
186,45 45 6459 17955
187,18494 18494 18494 17955
188,4779 3601 5198 17955
189,9126 9126 4301 17955
190,18494 18494 18494 17955
191,8306 8306 8306 17955
192,18494 18494 18494 17955
193,189 192 8983 17955
194,4019 4019 3960 17955
195,5143 4033 5125 17955
196,18494 18494 18494 17955
197,520 520 4489 17955
199,5896 5896 7584 17955
200,15120 15120 3567 17955
201,17835 3601 5370 17955
202,8259 8261 8034 17955
203,4280 194 5400 17955
204,4513 8924 5148 17955
205,4124 4124 4140 17955
206,4657 4657 3530 17955
207,6292 6404 16463 17955
208,5921 5114 5919 17955
209,9203 9203 9203 17955
210,15120 15120 8405 17955
211,12357 8481 12355 17955
212,4770 2301 4514 17955
213,3654 11972 14841 17955
214,2808 11063 2342 17955
215,7885 7885 4768 17955
216,3565 3565 7496 17955
217,197 194 12356 17955
219,3078 2976 2259 17955
221,8445 4844 5753 17955
223,15102 5561 3567 17955
224,6955 5113 5276 17955
225,8668 8668 6630 17955
226,18101 8638 17838 17955
227,11834 12720 15127 17955
228,8473 8381 1024 17955
229,4637 7496 5538 17955
230,18494 18494 18494 17955
231,18494 18494 18494 17955
232,8009 8385 11968 17955
233,18494 18494 18494 17955
234,9202 9206 9202 17955
235,18150 8306 6120 17955
237,192 197 5836 17955
238,18494 18494 18494 17955
239,6528 6528 76 8638
240,4035 4033 11315 17955
241,5518 4410 15312 17955
242,18494 18494 18494 17955
243,15100 15100 15100 17955
244,16661 16661 2866 17955
245,10142 3105 17962 17955
246,3565 3565 3573 17955
248,18096 18096 14118 17955
250,10067 10067 3875 17955
252,15101 15100 5201 17955
254,10353 1349 17253 17955
255,5153 3806 6716 17955
256,725 725 10819 8638
257,8306 8306 9227 17955
258,3572 8008 8956 17955
259,15114 15114 15114 17955
260,18494 18494 18494 17955
261,11733 5645 4481 17955
262,8565 10227 7596 5113
263,4657 4657 5507 17955
264,18494 18494 18494 17955
265,3566 3566 132 17955
266,18494 18494 18494 17955
267,4357 4346 17869 17955
268,9203 9206 9203 17955
269,11260 3901 16183 17955
270,18494 18494 18494 17955
271,8857 10161 14118 17955
273,6289 6289 5537 17955
274,5561 5561 6950 17955
275,3593 8638 3596 17955
276,15101 12469 5752 17955
277,6883 6404 11310 17955
278,17614 6289 3531 17955
279,3572 3572 5198 17955
280,5508 2301 4491 17955
281,4279 4279 9264 17955
282,5192 6528 16280 17955
283,18494 18494 18494 17955
284,9228 9228 9227 17955
285,18494 18494 18494 17955
286,18494 18494 18494 17955
288,8668 8668 5834 17955
289,18494 18494 18494 17955
290,5508 5508 6635 17955
291,4280 4280 6158 17955
292,6202 5112 5210 17955
294,18494 18494 18494 17955
296,18494 18494 18494 17955
298,10938 10938 4923 17955
300,4747 4747 4718 17955
301,9303 7824 4801 17955
302,9260 16196 9259 17955
304,3807 8481 5456 17955
305,187 187 195 17955
306,18146 18158 7535 17955
307,4844 6018 6516 17955
308,6526 6526 8927 17955
310,9302 3898 8401 17955
311,4657 15102 814 17955
313,6798 5297 9107 17955
314,6258 9127 4271 17955
315,4687 4687 4695 17955
316,3877 3601 621 17955
317,18494 14727 13693 17955
318,18494 18494 18494 17955
319,8668 8668 8668 17955
320,15102 5645 3840 17955
321,4361 4033 15174 17955
323,8445 17955 17668 17955
324,17314 5189 4794 17955
325,15119 15119 15119 17955
326,6888 2916 5836 17955
327,4190 9930 15519 17955
328,3572 3572 3847 17955
329,18494 18494 18494 17955
330,17836 17836 18184 17955
332,4035 4035 18109 17955
334,18494 18494 18494 17955
336,8031 17558 16183 17955
337,4194 4194 4369 17955
338,4658 4658 4301 17955
339,6793 6793 16185 17955
340,7662 9126 7662 17955
341,15114 15114 15114 17955
342,17750 17750 5554 17955
343,13297 13297 238 17955
344,3285 10227 726 17955
345,3565 3565 15100 17955
346,18494 18494 18494 17955
348,8515 738 9452 17955
349,4194 4194 17560 17955
350,11214 3898 4489 17955
351,18494 18494 18494 17955
352,8516 9477 15597 17955
353,4634 4634 4425 17955
356,11220 11220 10553 17955
357,3531 4844 3536 17955
359,18494 18494 18494 17955
360,192 187 186 17955
361,11214 11214 17913 17955
362,8347 8347 7493 17955
363,12815 15458 4754 17955
364,18494 18494 18494 17955
365,18494 18494 18494 17955
366,4658 4658 7493 17955
367,9093 9093 6532 17955
368,15237 15237 5297 17955
369,9461 9461 9162 17955
370,4410 6018 8955 17955
371,15100 15100 12187 17955
372,18494 18494 18494 17955
374,4703 4691 2177 17955
375,8306 5112 4754 17955
376,32 5114 17559 17955
377,15102 15102 15100 17955
378,3565 3565 18092 17955
379,10067 10067 9162 17955
380,3533 8638 3528 17955
381,9204 9204 9204 17955
382,724 724 5461 17955
384,6881 4844 9824 17955
385,6888 8481 3379 8638
386,16530 16530 10022 17955
387,4704 10227 7723 8638
388,7455 12747 7245 17955
389,18494 18494 18494 17955
391,197 192 4481 17955
392,15707 8638 15707 17955
393,18494 18494 18494 17955
394,18494 18494 18494 17955
395,4124 4194 17571 17955
397,15810 11457 18494 17955
398,18494 18494 18494 17955
399,9115 17764 4985 17955
400,18494 18494 18494 17955
401,530 13918 525 17955
402,4658 4658 4099 17955
403,521 521 521 17955
404,5143 5143 4481 17955
406,18235 18235 18232 17955
407,4528 5297 6934 17955
408,5672 5297 7596 17955
409,4658 4658 3839 17955
410,4747 6943 3521 17955
411,9092 11733 3804 17955
412,4279 1212 16684 17955
413,520 6528 7885 17955
414,18494 18494 18494 17955
416,5550 4379 726 17955
417,7146 168 3792 17955
418,11890 11021 2183 17955
419,1492 7437 2201 17955
420,4034 3807 14849 17955
421,7496 4630 7493 17955
422,18494 18494 18494 17955
423,8668 5562 4035 17955
424,5897 8638 16202 17955
425,194 194 194 17955
426,4669 189 814 17955
427,3565 3565 3619 8638
428,4192 4361 32 17955
429,5203 4410 5206 17955
430,5058 4687 5731 17955
431,7496 8666 7159 17955
432,7372 16724 7372 17955
433,15100 15100 4754 17955
434,5253 8214 5253 17955
435,15398 15398 4299 17955
436,18158 3601 12762 17955
437,6930 5896 6930 17955
438,3542 2776 3538 17955
439,5192 5192 7959 17955
440,16532 5896 4719 17955
441,8162 8162 8162 17955
443,1105 6806 9149 17955
444,18494 18494 18494 17955
445,4808 8186 7087 17955
446,3565 2301 4481 17955
447,18494 18494 18494 17955
448,189 187 192 17955
449,4634 4280 9050 17955
450,18156 10227 13825 8638
453,5202 4755 5206 17955
454,5897 9461 8535 17955
455,6793 6793 242 17955
456,4778 4691 14319 17955
457,16510 12998 7100 17955
458,189 192 186 17955
459,18494 18494 18494 17955
460,4634 4634 5905 5113
461,10572 17369 5554 17955
462,9203 9206 9203 17955
463,3572 3572 8349 17955
464,5561 5508 15145 17955
465,4280 4280 4005 17955
467,4844 6289 1478 17955
468,4279 6404 5481 17955
471,12966 12730 4344 17955
472,189 187 186 17955
473,4748 5114 4754 17955
474,4748 4748 18494 17955
475,8162 197 8162 17955
476,18494 18494 18494 17955
477,9206 9206 8405 17955
479,4657 4657 6160 8638
480,18166 192 9426 17955
481,15841 4490 5504 17955
482,737 14823 11733 17955
483,11960 3806 1823 17955
484,1111 18185 3633 17955
485,3566 3566 16301 17955
486,9206 9206 9206 17955
487,3514 5296 4856 17955
488,10466 6404 15463 17955
489,10692 10003 10671 17955
490,4035 4033 18494 17955
491,7657 7659 10949 17955
492,18494 18494 18494 17955
493,7495 7495 4791 17955
494,189 189 15299 17955
495,6292 4035 426 17955
496,2506 5645 2639 17955
497,15473 3852 3830 17955
498,4014 4446 8582 17955
499,4658 4658 4658 17955
500,18494 18494 18494 17955
501,13959 13845 6649 17955
502,4704 4704 6201 17955
503,3190 1312 885 17955
504,18494 18494 8102 17955
505,18494 18494 18494 17955
506,12358 12358 12358 17955
508,4723 5645 16148 17955
509,189 189 195 17955
510,6793 6793 8640 17955
511,18494 18494 18494 17955
513,189 197 5731 17955
514,15801 15801 5550 17955
515,10826 11920 5836 17955
516,6692 6692 7984 17955
517,5192 5192 184 17955
518,4657 5113 18100 17955
519,8306 8306 8306 17955
520,4658 4658 4658 17955
521,18494 18494 18494 17955
522,18494 18494 18494 17955
523,5143 5143 5585 17955
524,8534 5203 2385 17955
525,6207 9104 6204 17955
526,8535 8535 8536 17955
527,3572 3572 5130 17955
528,4513 8731 5148 17955
529,18158 18168 18145 17955
530,18494 18494 18494 17955
531,9303 9303 15596 17955
532,12357 5113 12357 17955
534,3407 11529 15580 17955
535,4984 6796 6740 17955
536,7589 4792 4754 17955
537,4657 735 9357 17955
538,8535 8535 4718 17955
539,6289 6289 14863 17955
540,5508 5508 3804 17955
541,16530 5113 4687 17955
542,192 192 186 17955
543,8849 8483 6573 17955
544,18494 18494 18494 17955
545,4035 4033 539 17955
547,18067 18067 18064 17955
548,18494 18494 18494 17955
549,2121 15857 2496 17955
550,15100 15100 6285 17955
551,9202 9206 8405 17955
552,4000 2835 67 17955
553,18098 18098 6649 17955
554,725 725 8244 17955
555,18148 197 11395 17955
556,4983 9260 6712 17955
559,4704 4704 9922 17955
562,8523 8523 4514 17955
563,11214 11214 15413 17955
564,18494 18494 18494 17955
565,7659 7659 152 17955
566,4768 7329 14111 17955
567,3073 5297 14771 17955
568,724 724 10668 17955
569,17750 17955 4494 17955
570,5508 5508 6439 17955
571,7496 7496 5739 17955
572,4702 5508 5344 8638
573,16220 16175 4061 17955
574,8849 5508 5752 17955
575,3565 3565 197 8638
577,18494 18494 18494 17955
578,17351 7437 7594 17955
579,18494 18494 18494 17955
580,5561 6404 15716 17955
581,18096 18096 6477 17955
582,6203 3806 6205 17955
583,4691 4691 9043 17955
584,192 194 18101 17955
585,15119 3566 4479 17955
586,3529 18096 3190 17955
587,16659 16659 7456 17955
588,10298 12386 10859 17955
589,4728 5562 5943 17955
590,18166 10067 6175 8638
591,7606 8179 12531 17955
592,17957 17957 3939 17955
593,504 5516 503 17955
594,189 189 17956 8638
595,18494 18494 18494 17955
596,14617 14617 7138 8638
597,4770 6404 13164 17955
598,189 189 5654 17955
599,8885 17790 5524 17955
600,5142 11733 15463 17955
601,8308 8308 8307 17955
602,189 189 15421 8638
603,5143 5143 4761 17955
604,15102 15102 15100 17955
605,5562 6528 6932 17955
606,8708 7226 4045 17955
607,15119 194 184 17955
608,4280 4280 4188 17955
609,15101 15101 15100 17955
611,725 725 5622 17955
612,4748 4630 6919 17955
613,4779 5143 5143 17955
614,18494 18494 18494 17955
615,18494 18494 18494 17955
616,192 192 194 17955
617,3514 3514 8885 17955
618,4748 4748 5221 17955
619,10142 10142 6067 17955
621,15031 12469 527 17955
622,18494 18494 18494 17955
623,18494 11977 1527 17955
624,6240 9487 4807 17955
626,16696 16701 10326 17955
627,3565 3565 9487 17955
628,18494 11108 17375 17955
629,4748 4748 18494 17955
630,15101 15101 15101 17955
631,9093 4844 8383 17955
632,194 194 194 17955
633,5192 3568 9477 17955
634,4018 4018 9261 17955
635,2904 3569 7574 17955
636,10068 10068 4369 17955
637,7661 7661 13835 17955
638,18494 18494 18494 17955
639,15227 8179 7137 17955
640,13551 8423 5209 17955
641,5562 5562 16310 17955
642,4657 4657 5943 17955
643,447 15341 10481 17955
644,16293 10068 3447 17955
645,6021 5005 4976 17955
646,8535 6528 8243 17955
647,18070 9199 9199 17955
648,4637 8445 4774 17955
650,17750 17750 8631 8638
651,197 192 6175 17955
652,5189 5189 192 17955
653,18230 6404 5943 17955
654,12257 5896 12259 17955
655,192 192 184 17955
656,18494 18494 18494 17955
658,5143 1212 4481 17955
659,5013 6798 4322 17955
662,14083 17307 13097 17955
665,3568 3568 4656 17955
666,5192 5192 4283 17955
667,8567 460 7005 17955
668,6798 6798 2346 17955
669,8534 9303 16411 17955
670,6513 8018 5903 17955
672,18185 6404 8905 17955
673,8500 8500 8428 17955
674,3582 5645 5400 17955
675,5572 5222 5121 17955
676,8538 9236 14901 17955
677,15114 15114 15114 17955
678,3531 18185 3526 17955
679,18494 18494 18494 17955
680,18494 18494 18494 17955
681,7493 7493 5061 17955
682,5393 12839 5393 17955
683,3884 8570 2207 17955
684,4634 4634 4634 17955
685,16681 4755 4641 17955
686,3572 3572 9943 17955
687,5190 5297 7242 8638
688,4769 8565 4769 17955
689,192 192 544 17955
690,15031 15031 4729 17955
691,10949 14754 5731 17955
692,18494 18494 18494 17955
694,4695 3541 6175 17955
695,4396 18185 16578 17955
696,4630 4630 17935 17955
697,9203 9203 9200 17955
698,4713 8186 5943 17955
699,3566 3566 6087 17955
700,8534 8534 12358 17955
701,197 197 195 17955
702,8179 5645 17956 8638
703,15102 15102 5133 17955
704,4404 8448 1001 17955
705,4983 4983 4596 17955
706,8506 3898 4251 17955
707,4778 5951 7688 17955
708,4634 4634 6205 17955
711,6648 3806 6649 17955
712,4657 4657 14505 17955
713,197 197 184 17955
714,4720 3654 4718 17955
715,4983 4983 5937 17955
716,5561 5561 7578 17955
717,4630 4630 5210 17955
718,10067 5562 6020 17955
719,6174 962 6171 17955
720,18494 18494 18494 17955
721,18494 18494 18494 17955
723,4034 4034 13595 17955
724,10068 10068 4695 17955
726,10067 10067 15816 17955
728,3407 3407 13451 17955
729,17506 17506 17506 17955
730,4630 4630 8425 17955
731,5672 6229 6205 17955
732,4124 4124 10927 8638
734,11733 11733 11735 17955
735,3531 3531 3536 17955
737,5142 8564 8582 17955
738,3527 8535 17548 17955
739,11783 11783 14491 17955
740,725 10068 7555 17955
742,7495 7495 7493 17955
744,18494 18494 18494 17955
745,4123 4123 4140 17955
746,8186 6404 14984 17955
747,12741 5168 1663 17955
748,5673 8666 10054 17955
750,7198 4057 4301 17955
751,7493 7493 5061 17955
752,9229 17819 10169 17955
754,197 197 184 17955
755,8309 8309 5148 17955
756,18494 18494 18494 17955
758,16176 16176 17783 17955
759,9303 9303 4491 17955
760,18494 18494 18494 17955
762,6202 17780 3929 17955
764,8960 4769 15801 17955
765,4480 2330 4491 17955
766,18230 3566 18232 17955
767,725 725 725 17955
768,4634 4634 7687 17955
769,7437 7437 17570 17955
770,5280 5280 13417 17955
771,14617 8186 4491 8638
772,15120 15120 16463 17955
775,15114 187 195 17955
776,3554 3922 6175 17955
777,7885 6404 412 17955
778,5113 6289 17917 17955
779,18494 18494 18494 17955
780,11191 6530 14792 17955
781,10067 10067 4558 17955
782,18494 8229 11887 17955
783,4723 10067 17506 17955
784,3593 9446 3538 17955
785,6470 4598 7194 17955
786,6434 7785 6446 17955
787,18494 18494 18494 17955
789,5297 5297 6445 8638
790,15222 15227 15222 8638
791,390 2729 8717 17955
792,4280 4280 13870 17955
793,10157 10167 13642 17955
795,408 5645 411 17955
796,7259 4691 9487 17955
797,4720 4720 4718 17955
798,18494 18494 18494 17955
799,4723 7354 5943 8638
800,15068 3806 17956 8638
801,189 189 197 17955
802,5561 5561 8955 17955
803,3251 3251 3251 17955
804,8391 8391 15267 17955
805,18153 18153 6885 17955
806,17863 4968 153 17955
807,10142 14847 6088 17955
808,6835 5904 15741 17955
809,5737 5061 17858 17955
810,11214 11214 15864 17955
811,4703 4703 5283 17955
812,6289 8481 10168 17955
813,11393 1806 2518 17955
814,3611 4436 5525 17955
815,18176 4629 18184 17955
817,18494 18494 18494 17955
818,1690 7493 5921 17955
819,379 4629 5882 17955
820,8978 16501 8977 17955
821,10466 5114 8582 17955
822,4657 4657 8510 17955
823,4010 8619 8401 17955
824,18494 18494 18494 17955
825,14847 14847 17524 17955
826,3192 14864 7803 17955
827,9201 9204 9200 17955
828,3572 6530 3567 17955
829,5715 7581 3834 17955
830,3568 3568 17670 17955
831,12815 5192 12815 17955
832,10142 14847 9477 17955
833,2551 17369 13367 17955
835,15101 15101 15101 17955
836,254 4860 10362 17955
837,7550 4077 7476 17955
839,18494 18494 18494 17955
840,4637 4637 8498 17955
841,17865 11905 15291 17955
842,13275 10579 14163 17955
843,12590 11988 13145 17955
844,8347 4010 9050 17955
845,3565 3565 3905 8638
846,14648 8363 10304 17955
847,18236 18231 18232 17955
849,18494 18494 18494 17955
850,1415 6229 2247 17955
851,724 724 724 17955
853,4720 4691 4695 17955
854,18494 18494 18494 17955
855,18494 18494 18494 17955
856,9203 3566 9200 8638
857,18494 18494 18494 17955
858,8535 4361 5670 17955
859,4747 4747 5164 17955
860,5895 7581 10181 17955
861,8179 8179 8179 17955
862,18494 18494 18494 17955
863,18494 18494 18494 17955
865,9208 8565 5418 17955
866,17768 4720 17581 17955
867,15227 6526 15227 17955
868,18494 18494 18494 17955
869,18494 18494 18494 17955
870,18494 18494 18494 17955
871,18067 5113 18064 17955
872,5732 5732 10290 17955
873,17559 4844 547 17955
874,18494 18494 18494 17955
875,15031 9475 9477 17955
877,189 189 194 17955
878,1274 8032 18321 17955
879,8306 8306 8425 17955
880,3655 5061 4004 17955
881,12874 12875 5111 17955
882,4287 5143 6158 17955
883,5895 5297 6950 17955
884,7885 7885 7495 17955
885,18494 18494 18494 17955
886,5361 2430 5372 17955
887,5561 5508 8380 17955
888,3565 3565 17668 17955
889,4197 11300 4197 17955
890,14299 7465 10186 17955
891,4169 5524 9025 17955
894,5297 5297 15188 17955
895,256 15760 8286 17955
896,4713 10227 5942 17955
897,4280 4280 4985 17955
898,15398 15398 10041 17955
899,18494 18494 18494 17955
900,6202 4844 10707 17955
902,15102 15102 7608 17955
903,10067 10067 5643 17955
904,216 15462 14812 17955
905,3572 10068 5542 17955
907,12258 5645 12258 17955
908,17750 17750 5364 17955
910,4280 4280 13515 17955
911,10227 5671 3250 17955
912,18494 18494 18494 17955
913,18494 18494 18494 17955
915,189 192 189 17955
916,9203 9203 9202 17955
917,4019 4019 5344 17955
918,4194 4193 4194 17955
919,14058 18100 2833 17955
920,18494 18494 18494 17955
921,4634 4634 7492 17955
922,10142 14847 6118 17955
923,5034 16209 7471 17955
924,17867 17288 3185 17955
925,12594 14754 8712 17955
926,9303 9303 7594 17955
927,8259 8261 4242 17955
928,12259 4629 12259 17955
929,12259 4194 12259 17955
930,4708 566 7180 17955
931,8523 7304 5670 17955
932,12646 12594 12640 17955
934,4280 4280 4771 17955
935,15222 15227 15226 17955
936,15596 9572 15596 17955
937,18494 18494 18494 17955
938,18494 18494 18494 17955
939,18494 18494 18494 17955
940,725 725 7595 17955
941,11222 5113 15019 17955
942,7437 7437 8382 17955
943,18494 18494 18494 17955
944,4630 4630 6036 17955
945,189 189 18136 17955
946,5508 5508 17716 17955
947,6201 798 5210 17955
948,3566 3566 18095 5113
950,4123 4123 4140 17955
952,11214 11214 8855 17955
953,9092 8179 4394 17955
954,10067 10067 1869 17955
955,18494 18494 18494 17955
956,17361 4037 5077 17955
957,4169 11291 14244 17955
958,9203 9199 9437 17955
959,18494 18494 18494 17955
960,6202 5034 6203 17955
961,5013 3105 5013 8638
962,5012 5012 5012 17955
963,14847 14847 8951 17955
964,15235 6289 13580 17955
966,18494 18494 18494 17955
967,12016 16617 6412 17955
968,3565 3565 4481 8638
969,18494 18494 18494 17955
970,4703 4703 5872 8638
971,7603 6855 15816 17955
972,3495 3450 13764 17955
974,5190 5190 5920 17955
976,5433 5433 398 17955
977,189 192 4004 17955
979,4358 4068 16411 17955
980,18494 18494 18494 17955
981,8914 8914 4220 17955
982,18176 8309 17383 17955
983,15227 15227 17838 17955
984,15101 15101 152 17955
986,18494 18494 18494 17955
987,7136 8526 11942 17955
988,4279 4279 16417 17955
989,3556 4284 12989 17955
990,13644 12923 2076 17955
991,4739 4033 3521 17955
992,10466 5114 18494 17955
993,3533 3531 3534 17955
994,16659 16659 16659 17955
995,5190 5190 7606 17955
996,15217 6701 18323 17955
997,4034 4034 3656 17955
998,4280 4280 5875 17955
999,3407 18100 18099 17955
1000,18494 18494 18494 17955
1001,16292 16292 6649 17955
1002,739 5645 3386 17955
1003,4069 9447 4058 17955
1004,16099 3971 16100 17955
1005,7584 13918 3751 17955
1006,4123 5645 6013 8638
1008,18494 18494 18494 17955
1011,4018 4018 7579 17955
1012,8308 8308 8307 17955
1013,4657 4657 10054 17955
1014,7884 10068 5709 17955
1015,4481 14823 5143 17955
1016,1002 4247 14054 17955
1017,145 145 12762 17955
1018,3346 14727 8110 17955
1019,18494 18494 18494 17955
1021,6799 4410 16168 17955
1022,189 187 14282 17955
1023,17989 4033 16397 17955
1025,189 187 3806 17955
1026,14852 14823 14671 17955
1027,18494 18494 18494 17955
1028,14768 5697 17932 17955
1029,18494 18494 18494 17955
1030,3407 6018 17873 17955
1032,11834 5139 6950 17955
1035,762 9691 16755 17955
1036,8213 8213 3523 17955
1037,145 145 6490 17955
1038,4696 4687 4696 17955
1039,8391 15383 18234 17955
1040,8179 8179 8179 17955
1041,16176 5562 8345 17955
1042,7493 7495 6222 17955
1043,6292 6292 7759 17955
1044,11905 11905 8012 17955
1045,15222 6404 3536 17955
1046,5135 6018 17329 17955
1047,8399 571 8399 17955
1048,5897 4280 12860 17955
1049,3289 9017 7907 17955
1050,9206 5508 8405 17955
1051,14867 3123 10800 17955
1052,6798 5645 8668 17955
1053,4013 197 5198 17955
1054,3565 3565 5285 17955
1055,4728 8666 5943 17955
1056,6292 6292 7759 17955
1057,5101 4795 8998 17955
1058,15227 6289 15227 17955
1059,10194 8481 4493 17955
1060,3531 3527 6170 17955
1061,5561 5561 1987 17955
1062,3565 3565 8855 17955
1063,18494 18494 18494 17955
1064,4779 4779 16684 17955
1065,5508 5508 5854 17955
1066,8306 8306 8640 17955
1067,9053 10068 4519 17955
1068,724 10068 15815 17955
1069,4657 8186 18099 17955
1070,4658 4658 5042 17955
1071,15102 15102 5259 17955
1072,189 189 186 17955
1073,4346 4359 6950 17955
1074,10142 5113 7726 17955
1075,7490 431 18311 17955
1077,11734 11734 739 17955
1079,16292 16292 7562 17955
1080,9302 9302 5412 17955
1082,18494 18494 18494 17955
1083,18494 18494 18494 17955
1084,3785 5589 7190 17955
1085,3898 3898 6950 17955
1086,6901 5281 6181 17955
1087,3565 3565 6087 17955
1088,3251 9477 8631 17955
1089,5434 15205 10102 17955
1090,3105 4279 6550 17955
1092,17957 5610 7138 17955
1093,3572 4361 12872 17955
1094,4844 6018 10304 17955
1095,3566 3566 186 17955
1096,3537 4361 4866 17955
1097,1166 18494 13325 17955
1098,8214 8214 18333 17955
1099,18494 18494 18494 17955
1101,18494 18494 18494 17955
1102,4634 4634 5574 17955
1103,18494 18494 18494 17955
1104,14175 14175 10553 17955
1105,4526 6404 5542 17955
1106,10831 4171 11156 17955
1107,5143 8666 4489 17955
1108,16278 2415 15304 17955
1109,10067 10067 4469 17955
1110,4844 4844 6886 17955
1111,3566 3566 6283 5113
1113,4014 6404 4238 17955
1114,9940 15908 10529 17955
1115,5671 4696 4386 17955
1116,18494 18494 18494 17955
1117,889 6880 2809 17955
1118,3572 5114 8956 17955
1119,15100 15100 18178 17955
1120,9228 9228 9227 17955
1121,3572 5113 7574 17955
1122,4874 4201 6268 17955
1123,189 189 194 17955
1124,7495 7495 5061 17955
1126,6286 13983 7889 17955
1127,8306 8309 5021 17955
1128,13949 13918 6063 17955
1129,4687 12194 8212 17955
1131,9132 3806 14051 17955
1132,18494 18494 18494 17955
1133,3529 3529 4794 17955
1134,18494 18494 18494 17955
1135,18494 18494 18494 17955
